コード,県,ブロック,郡市,区町村,国籍区分,性別,年齢区分,内容,期間,増減数,出生,死亡,転入（県内）,転入（北海道・東北）,転入（北関東）,転入（南関東）,転入（北陸・東山）,転入（東海）,転入（近畿）,転入（中国）,転入（四国）,転入（九州）,転入（国外）,転入（不詳）,転出（県内）,転出（北海道・東北）,転出（北関東）,転出（南関東）,転出（北陸・東山）,転出（東海）,転出（近畿）,転出（中国）,転出（四国）,転出（九州）,転出（国外）,転出（不詳）,その他の増減
23111,愛知県,名古屋,名古屋市,港区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-59,74,-171,363,14,7,33,5,30,21,1,2,10,61,-,-345,-3,-2,-36,-9,-42,-20,-6,-4,-13,-9,-,-20
23112,愛知県,名古屋,名古屋市,南区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-104,62,-180,303,4,4,27,10,44,25,2,2,7,491,-,-552,-4,-11,-59,-7,-166,-35,-11,-2,-31,-22,-,-5
23113,愛知県,名古屋,名古屋市,守山区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-91,123,-184,348,7,2,36,11,41,40,10,4,12,36,-,-385,-12,-10,-47,-6,-62,-14,-8,-5,-9,-28,-,9
23114,愛知県,名古屋,名古屋市,緑区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-61,194,-224,486,6,2,41,7,37,31,14,3,7,145,-,-564,-11,-4,-62,-10,-54,-37,-6,-1,-29,-37,-,5
23115,愛知県,名古屋,名古屋市,名東区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-126,110,-160,329,8,5,67,19,49,40,5,2,16,69,-,-354,-12,-2,-122,-11,-49,-47,-2,-6,-17,-43,-,-20
23116,愛知県,名古屋,名古屋市,天白区,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-64,112,-171,395,3,5,59,15,43,25,7,-,14,97,-,-452,-1,-2,-79,-9,-40,-35,-5,-5,-8,-24,-,-8
23201,愛知県,東三河,豊橋市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-163,210,-390,307,18,9,57,30,141,34,12,8,18,204,-,-417,-6,-11,-77,-19,-173,-39,-24,-7,-29,-65,-,46
23202,愛知県,西三河,岡崎市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,4,230,-329,539,23,14,82,25,99,44,5,11,31,252,4,-582,-19,-11,-78,-16,-76,-47,-11,-8,-30,-131,-,-17
23203,愛知県,尾張中西部・海部,一宮市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-78,205,-383,404,3,10,40,17,139,39,13,5,20,23,122,-353,-11,-8,-68,-17,-131,-47,-17,-1,-16,-39,-,-27
23204,愛知県,尾張北東部,瀬戸市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-3,63,-142,189,1,3,23,4,29,6,5,-,8,72,-,-154,-2,-2,-20,-5,-20,-9,-30,-2,-5,-20,-,5
23205,愛知県,知多,半田市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-82,72,-115,191,3,3,17,5,27,23,5,1,5,72,-,-216,-22,-22,-32,-9,-29,-15,-7,-,-2,-24,-,-13
23206,愛知県,尾張北東部,春日井市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,63,205,-282,449,13,5,57,16,107,51,13,-,25,138,2,-391,-13,-6,-66,-17,-79,-46,-19,-5,-29,-34,-,-31
23207,愛知県,東三河,豊川市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-60,109,-195,237,5,8,28,6,48,34,10,2,11,63,-,-226,-6,-3,-34,-7,-47,-15,-4,-5,-7,-15,-,-57
23208,愛知県,尾張中西部・海部,津島市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-56,30,-86,101,2,4,2,-,19,4,1,2,2,29,-,-115,-,-,-10,-,-15,-6,-,-,-2,-16,-,-2
23209,愛知県,西三河,碧南市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-,36,-76,172,3,3,10,6,8,8,3,1,11,32,-,-157,-,-2,-4,-6,-10,-5,-5,-,-8,-17,-,-3
23210,愛知県,西三河,刈谷市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-6,96,-117,367,9,9,25,9,34,16,8,-,15,111,-,-380,-10,-7,-44,-9,-35,-24,-7,-3,-11,-38,-1,-19
23211,愛知県,西三河,豊田市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,60,240,-370,529,35,19,95,23,136,74,20,4,37,446,-,-706,-17,-18,-107,-25,-84,-47,-20,-9,-45,-144,-,-6
23212,愛知県,西三河,安城市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-33,124,-152,346,16,5,29,15,54,30,6,6,22,193,-,-419,-10,-10,-44,-3,-55,-61,-6,-1,-31,-91,-,4
23213,愛知県,西三河,西尾市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-11,82,-175,260,10,4,25,12,25,16,5,1,11,124,-,-249,-3,-6,-17,-9,-41,-8,-4,-1,-10,-76,-,13
23214,愛知県,東三河,蒲郡市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-25,37,-118,138,6,3,20,3,12,12,-,-,4,25,-,-104,-1,-6,-12,-5,-13,-6,-,-,-2,-12,-,-6
23215,愛知県,尾張北東部,犬山市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,31,36,-90,121,4,5,18,1,48,14,1,2,-,41,-,-82,-4,-2,-15,-6,-33,-11,-1,-,-1,-14,-,-1
23216,愛知県,知多,常滑市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-72,27,-49,126,5,2,8,2,7,8,-,-,-,35,-,-128,-4,-,-32,-4,-36,-10,-,-,-19,-11,-,1
23217,愛知県,尾張北東部,江南市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-89,47,-105,144,1,3,23,4,33,4,3,-,1,32,1,-162,-3,-1,-19,-7,-44,-15,-3,-1,-5,-17,-,-3
23219,愛知県,尾張北東部,小牧市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-86,63,-135,245,4,5,33,15,68,24,7,11,15,56,-,-249,-7,-7,-58,-4,-57,-21,-11,-4,-14,-43,-,-22
23220,愛知県,尾張中西部・海部,稲沢市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,8,83,-151,203,-,1,22,5,63,28,12,3,5,24,35,-213,-1,-,-18,-7,-35,-10,-2,-,-2,-8,-,-29
23221,愛知県,東三河,新城市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-31,14,-62,58,-,-,6,2,15,4,-,-,1,23,-,-59,-,-,-3,-3,-19,-,-,-,-1,-6,-,-1
23222,愛知県,知多,東海市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-70,74,-99,208,3,2,20,8,29,7,-,-,6,33,-,-232,-12,-16,-23,-12,-20,-10,-,-1,-21,-5,-1,-8
23223,愛知県,知多,大府市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,83,59,-67,160,2,1,27,5,22,14,1,-,7,172,-,-191,-2,-3,-19,-3,-36,-14,-5,-11,-13,-22,-,-1
23224,愛知県,知多,知多市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-90,40,-92,122,1,-,14,2,12,6,1,-,2,26,-,-134,-2,-3,-18,-15,-12,-13,-11,-1,-8,-3,-,-4
23225,愛知県,西三河,知立市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,79,63,-50,222,2,5,12,3,25,16,5,-,6,72,-,-210,-7,-1,-23,-1,-22,-7,-2,-,-8,-19,-,-2
23226,愛知県,尾張北東部,尾張旭市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,16,45,-61,168,1,3,14,2,7,10,-,-,4,39,-,-160,-6,-,-8,-3,-17,-2,-1,-2,-2,-14,-,-1
23227,愛知県,西三河,高浜市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-6,33,-37,149,2,1,9,3,12,10,2,-,2,18,-,-146,-1,-,-6,-3,-4,-3,-2,-,-7,-39,-,1
23228,愛知県,尾張北東部,岩倉市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,31,33,-57,127,1,1,8,1,22,8,2,1,13,31,-,-108,-1,-,-5,-2,-20,-9,-2,-,-5,-11,-,3
23229,愛知県,尾張北東部,豊明市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,45,31,-54,154,6,4,10,7,17,13,2,1,1,40,-,-127,-,-,-12,-,-17,-4,-2,-,-5,-12,-,-8
23230,愛知県,尾張北東部,日進市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,82,59,-63,268,5,2,22,6,31,13,2,2,2,64,-,-244,-4,-3,-24,-9,-11,-9,-2,-,-4,-13,-,-8
23231,愛知県,東三河,田原市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-57,24,-67,77,3,3,13,-,11,4,-,1,2,12,-,-77,-2,-1,-9,-,-10,-2,-,-,-1,-37,-2,1
23232,愛知県,尾張中西部・海部,愛西市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-18,29,-68,95,-,-,7,1,13,6,1,-,1,20,-,-98,-,-,-7,-1,-6,-6,-,-,-1,-2,-,-2
23233,愛知県,尾張中西部・海部,清須市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-24,56,-70,168,1,-,11,7,29,17,2,1,11,37,-,-213,-2,-3,-13,-2,-33,-15,-1,-,-3,-7,-,-2
23234,愛知県,尾張中西部・海部,北名古屋市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-46,43,-76,176,2,-,19,8,20,14,1,1,9,17,1,-186,-2,-2,-23,-1,-23,-5,-1,-,-3,-6,-,-29
23235,愛知県,尾張中西部・海部,弥富市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-26,21,-59,76,2,4,16,5,38,9,-,-,2,20,-,-82,-1,-4,-8,-3,-43,-1,-1,-,-2,-12,-,-3
23236,愛知県,西三河,みよし市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,22,31,-52,168,6,2,10,8,21,11,-,1,12,47,1,-151,-,-1,-9,-3,-17,-18,-4,-1,-6,-26,-,-8
23237,愛知県,尾張中西部・海部,あま市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,1,51,-90,158,1,-,11,2,25,18,8,-,3,58,-,-168,-1,-3,-8,-4,-24,-5,-1,-,-6,-16,-,-8
23238,愛知県,尾張北東部,長久手市,―,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-10,28,-33,103,1,2,13,13,19,13,-,-,12,46,-,-121,-3,-1,-16,-11,-20,-11,-2,-,-12,-21,-,-9
23302,愛知県,尾張北東部,愛知郡,東郷町,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-8,14,-39,98,3,3,13,-,2,9,-,-,2,10,-,-77,-3,-1,-15,-,-5,-2,-2,-,-1,-14,-,-3
23342,愛知県,尾張中西部・海部,西春日井郡,豊山町,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,3,11,-12,42,1,-,4,-,5,12,-,-,4,31,-,-56,-10,-2,-6,-2,-8,-4,-,-1,-4,-4,-,2
23361,愛知県,尾張北東部,丹羽郡,大口町,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-19,11,-30,57,3,-,4,-,10,7,-,-,2,2,-,-56,-2,-2,-3,-2,-12,-2,-,-1,-,-6,-,1
23362,愛知県,尾張北東部,丹羽郡,扶桑町,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,9,25,-41,67,-,-,-,3,22,2,-,-,1,2,-,-47,-2,-1,-4,-4,-8,-1,-,-,-1,-6,-,2
23424,愛知県,尾張中西部・海部,海部郡,大治町,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,37,22,-27,82,2,-,8,-,14,4,-,-,-,8,-,-57,-,-,-4,-,-9,-,-1,-1,-,-1,-,-3
23425,愛知県,尾張中西部・海部,海部郡,蟹江町,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-9,25,-39,75,-,-,5,1,20,9,1,2,6,20,-,-67,-2,-,-18,-,-26,-6,-1,-,-3,-9,-,-2
23427,愛知県,尾張中西部・海部,海部郡,飛島村,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-1,2,-8,11,-,-,3,-,1,-,-,-,-,4,-,-9,-,-,-2,-,-,-,-,-,-,-3,-,-
23441,愛知県,知多,知多郡,阿久比町,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,6,11,-23,47,-,-,4,-,1,-,-,-,1,7,-,-30,-,-,-4,-1,-3,-1,-,-,-1,-1,-,-1
23442,愛知県,知多,知多郡,東浦町,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,6,28,-45,99,1,4,4,-,5,2,-,-,1,20,-,-71,-1,-3,-7,-5,-8,-6,-,-,-4,-7,-,-1
23445,愛知県,知多,知多郡,南知多町,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,88,4,-36,19,-,-,2,-,3,-,1,-,-,164,-,-49,-,-,-1,-,-9,-1,-,-,-,-8,-,-1
23446,愛知県,知多,知多郡,美浜町,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-11,11,-23,32,2,-,1,-,1,-,-,-,3,5,-,-34,-2,-,-2,-,-2,-1,-,-1,-,-1,-,-
23447,愛知県,知多,知多郡,武豊町,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,2,32,-37,75,1,2,5,-,3,8,2,1,3,15,-,-72,-1,-,-7,-,-9,-2,-2,-,-5,-9,-,-1
23501,愛知県,西三河,額田郡,幸田町,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,34,40,-31,72,5,-,1,3,14,1,-,1,3,16,-,-63,-1,-1,-4,-,-7,-3,-,-2,-3,-3,-,-4
23561,愛知県,東三河,北設楽郡,設楽町,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-1,1,-8,5,-,-,-,-,2,-,-,-,1,2,-,-2,-,-,-,-2,-,-,-,-,-,-,-,-
23562,愛知県,東三河,北設楽郡,東栄町,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-12,-,-11,4,-,-,-,-,-,-,-,-,-,3,-,-5,-,-,-,-,-,-,-,-,-,-3,-,-
23563,愛知県,東三河,北設楽郡,豊根村,a)日外他,a)男女,a)総数,人口増減数（人）,20210101-31,-1,-,-1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-,-,-,-,-,-,-,-,-
23000,愛知県,―,―,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-2054,2122,-4038,6577,174,91,858,248,997,582,118,47,281,768,6,-6866,-177,-109,-1070,-198,-943,-591,-143,-74,-368,-421,-2,77
23100,愛知県,名古屋,名古屋市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-720,691,-1348,2831,65,37,457,110,332,279,50,20,101,177,-,-2857,-61,-28,-544,-85,-336,-307,-58,-36,-146,-117,-,53
23101,愛知県,名古屋,名古屋市,千種区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-60,45,-90,193,8,7,62,7,19,26,1,-,2,18,-,-174,-9,-5,-70,-8,-26,-32,-6,-2,-11,-14,-,-1
23102,愛知県,名古屋,名古屋市,東区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,2,36,-35,133,4,-,19,7,20,9,2,1,7,5,-,-138,-3,-3,-34,-3,-5,-8,-3,-2,-7,-2,-,2
23103,愛知県,名古屋,名古屋市,北区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-59,46,-114,191,4,4,20,15,20,16,4,1,8,6,-,-196,-4,-2,-28,-,-18,-12,-4,-4,-11,-2,-,1
23104,愛知県,名古屋,名古屋市,西区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-3,49,-94,214,2,1,29,9,25,30,3,2,8,10,-,-182,-4,-4,-34,-3,-17,-24,-3,-5,-12,-4,-,1
23105,愛知県,名古屋,名古屋市,中村区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-98,25,-94,222,5,4,45,10,39,21,1,1,3,6,-,-214,-5,-5,-52,-11,-39,-36,-6,-3,-15,-3,-,3
23106,愛知県,名古屋,名古屋市,中区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,14,17,-37,195,9,4,69,8,33,34,5,2,10,9,-,-187,-9,-,-62,-8,-27,-31,-2,-,-15,-4,-,1
23107,愛知県,名古屋,名古屋市,昭和区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-36,22,-53,144,2,1,26,7,11,13,5,-,4,16,-,-140,-2,-2,-28,-15,-13,-17,-7,-2,-2,-7,-,1
23108,愛知県,名古屋,名古屋市,瑞穂区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-48,30,-67,121,1,-,10,4,11,8,1,1,4,3,-,-123,-1,-,-19,-,-7,-17,-2,-1,-4,-5,-,4
23109,愛知県,名古屋,名古屋市,熱田区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-38,15,-36,75,2,1,12,4,17,7,1,1,6,1,-,-97,-3,-,-14,-1,-15,-7,-1,-1,-4,-2,-,1
23110,愛知県,名古屋,名古屋市,中川区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-82,61,-134,259,3,2,24,7,38,18,8,2,15,6,-,-255,-4,-1,-25,-9,-45,-28,-6,-1,-12,-9,-,4
23111,愛知県,名古屋,名古屋市,港区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-33,36,-92,154,6,4,17,4,13,10,1,1,5,5,-,-137,-1,-,-11,-4,-20,-10,-3,-3,-8,-4,-,4
23112,愛知県,名古屋,名古屋市,南区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-117,30,-98,145,3,1,18,7,11,6,-,1,3,5,-,-178,-2,-1,-19,-2,-17,-6,-4,-1,-13,-7,-,1
23113,愛知県,名古屋,名古屋市,守山区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-57,62,-114,171,5,2,12,3,16,30,5,3,8,12,-,-189,-5,-3,-27,-5,-30,-8,-3,-3,-2,-8,-,11
23114,愛知県,名古屋,名古屋市,緑区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,16,102,-114,249,4,1,23,6,16,17,7,2,5,37,-,-247,-2,-,-25,-6,-15,-23,-3,-1,-13,-18,-,14
23115,愛知県,名古屋,名古屋市,名東区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-57,55,-85,163,5,3,35,7,21,22,3,2,6,20,-,-169,-6,-1,-60,-4,-21,-27,-1,-4,-10,-12,-,1
23116,愛知県,名古屋,名古屋市,天白区,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-64,60,-91,202,2,2,36,5,22,12,3,-,7,18,-,-231,-1,-1,-36,-6,-21,-21,-4,-3,-7,-16,-,5
23201,愛知県,東三河,豊橋市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-142,115,-203,117,10,3,30,8,53,13,7,1,8,21,-,-182,-3,-3,-37,-5,-49,-21,-3,-4,-12,-16,-,10
23202,愛知県,西三河,岡崎市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-90,115,-164,234,11,6,31,12,51,30,2,7,15,54,4,-284,-15,-3,-36,-7,-46,-27,-5,-5,-23,-53,-,6
23203,愛知県,尾張中西部・海部,一宮市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-75,106,-198,189,2,2,20,5,54,11,5,3,10,17,-,-153,-5,-5,-31,-9,-58,-20,-9,-1,-9,-6,-,5
23204,愛知県,尾張北東部,瀬戸市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-22,32,-82,75,-,3,11,2,13,2,3,-,3,11,-,-63,-2,-1,-8,-4,-10,-4,-,-,-2,-3,-,2
23205,愛知県,知多,半田市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-61,30,-60,80,1,2,8,2,11,7,4,-,5,6,-,-108,-2,-6,-14,-4,-9,-6,-2,-,-1,-5,-,-
23206,愛知県,尾張北東部,春日井市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-17,106,-150,216,10,1,27,11,38,24,4,-,13,18,-,-173,-8,-4,-33,-11,-43,-18,-12,-3,-16,-11,-,-3
23207,愛知県,東三河,豊川市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-40,56,-113,110,1,3,12,3,24,14,1,-,1,15,-,-95,-4,-1,-16,-3,-14,-10,-2,-1,-3,-6,-,-12
23208,愛知県,尾張中西部・海部,津島市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-53,15,-46,29,-,-,1,-,4,4,1,1,1,1,-,-54,-,-,-1,-,-4,-3,-,-,-1,-1,-,-
23209,愛知県,西三河,碧南市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-7,17,-40,56,2,2,2,5,1,3,-,1,5,7,-,-51,-,-,-2,-1,-5,-3,-2,-,-3,-1,-,-
23210,愛知県,西三河,刈谷市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-69,42,-68,180,6,6,15,6,14,5,5,-,9,32,-,-205,-7,-4,-26,-3,-24,-17,-4,-2,-7,-22,-1,1
23211,愛知県,西三河,豊田市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-146,115,-202,209,12,6,43,13,76,29,7,3,22,137,-,-377,-14,-10,-58,-10,-41,-27,-10,-6,-33,-37,-,7
23212,愛知県,西三河,安城市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-51,50,-86,158,10,4,14,12,24,11,5,1,13,31,-,-181,-6,-4,-21,-3,-22,-15,-4,-1,-12,-32,-,3
23213,愛知県,西三河,西尾市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-49,34,-81,91,4,1,8,2,7,6,1,1,7,14,-,-100,-2,-1,-8,-3,-11,-5,-1,-1,-8,-7,-,3
23214,愛知県,東三河,蒲郡市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-16,17,-54,60,2,-,8,1,6,4,-,-,1,6,-,-46,-1,-1,-7,-1,-5,-1,-,-,-1,-4,-,-
23215,愛知県,尾張北東部,犬山市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-24,20,-53,42,1,1,7,-,20,6,-,-,-,8,-,-40,-2,-1,-9,-1,-14,-6,-,-,-1,-2,-,-
23216,愛知県,知多,常滑市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-11,11,-24,58,5,-,4,2,3,5,-,-,-,3,-,-49,-2,-,-9,-2,-9,-4,-,-,-3,-4,-,4
23217,愛知県,尾張北東部,江南市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-54,25,-65,67,-,2,9,2,12,3,3,-,-,5,1,-80,-1,-1,-6,-4,-19,-4,-,-1,-1,-4,-,3
23219,愛知県,尾張北東部,小牧市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-105,27,-79,116,3,2,10,2,26,7,2,2,5,9,-,-136,-5,-3,-36,-2,-25,-11,-5,-4,-7,-3,-,-
23220,愛知県,尾張中西部・海部,稲沢市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-17,41,-88,92,-,1,12,3,22,13,3,-,4,15,-,-88,-1,-,-11,-3,-17,-6,-1,-,-,-,-,-8
23221,愛知県,東三河,新城市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-12,8,-29,25,-,-,3,1,8,-,-,-,1,2,-,-25,-,-,-2,-1,-2,-,-,-,-1,-,-,-
23222,愛知県,知多,東海市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-58,41,-54,96,1,-,10,7,15,3,-,-,3,10,-,-121,-6,-15,-13,-7,-11,-3,-,-1,-13,-2,-1,3
23223,愛知県,知多,大府市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-16,21,-35,77,2,-,17,3,9,5,1,-,5,17,-,-95,-2,-2,-12,-1,-6,-6,-4,-,-5,-6,-,1
