コード,県,ブロック,郡市,区町村,国籍区分,性別,年齢区分,内容,期間,増減数,出生,死亡,転入（県内）,転入（北海道・東北）,転入（北関東）,転入（南関東）,転入（北陸・東山）,転入（東海）,転入（近畿）,転入（中国）,転入（四国）,転入（九州）,転入（国外）,転入（不詳）,転出（県内）,転出（北海道・東北）,転出（北関東）,転出（南関東）,転出（北陸・東山）,転出（東海）,転出（近畿）,転出（中国）,転出（四国）,転出（九州）,転出（国外）,転出（不詳）,その他の増減,
23110,愛知県,名古屋,名古屋市,中川区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-65,125,-265,631,12,4,61,17,89,35,7,7,22,107,-,-580,-17,-6,-78,-19,-102,-33,-4,-4,-21,-49,-,-4,
23111,愛知県,名古屋,名古屋市,港区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-92,59,-196,341,7,2,33,7,58,22,4,1,13,68,-,-294,-6,-1,-37,-8,-35,-18,-4,-2,-17,-76,-,-13,
23112,愛知県,名古屋,名古屋市,南区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-194,71,-216,316,11,2,22,19,34,22,1,4,10,304,-,-490,-4,-14,-37,-11,-118,-36,-4,-6,-20,-53,-,-1,
23113,愛知県,名古屋,名古屋市,守山区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-208,119,-226,340,9,2,32,7,51,17,7,1,13,46,-,-412,-8,-2,-52,-7,-31,-28,-4,-1,-22,-49,-,-10,
23114,愛知県,名古屋,名古屋市,緑区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,68,175,-237,546,4,4,59,15,46,33,14,9,16,149,-,-473,-10,-4,-74,-16,-63,-24,-12,-1,-17,-64,-,-7,
23115,愛知県,名古屋,名古屋市,名東区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-93,75,-164,371,10,2,76,16,57,37,9,7,12,86,-,-349,-11,-2,-120,-9,-44,-62,-8,-,-24,-54,-,-4,
23116,愛知県,名古屋,名古屋市,天白区,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-67,70,-165,428,8,4,48,18,44,24,9,3,15,71,-,-395,-5,-6,-57,-8,-38,-43,-2,-4,-18,-59,-,-9,
23201,愛知県,東三河,豊橋市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-157,197,-444,339,16,12,95,16,138,36,13,11,27,300,-,-377,-14,-12,-76,-19,-185,-43,-6,-5,-43,-141,-,8,
23202,愛知県,西三河,岡崎市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-25,240,-407,599,15,11,85,33,113,58,19,10,29,279,-,-579,-11,-12,-115,-25,-118,-69,-12,-2,-29,-141,-,4,
23203,愛知県,尾張中西部・海部,一宮市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-252,158,-459,412,12,4,59,18,118,43,5,8,12,221,-,-374,-23,-8,-74,-13,-153,-62,-16,-3,-21,-109,-,-7,
23204,愛知県,尾張北東部,瀬戸市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-86,49,-150,161,5,2,7,5,34,4,1,-,9,79,-,-174,-4,-4,-26,-3,-17,-17,-5,-,-4,-37,-,-1,
23205,愛知県,知多,半田市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-140,52,-157,198,10,2,18,10,22,19,1,2,5,56,-,-215,-2,-4,-21,-1,-49,-22,-1,-,-11,-49,-4,1,
23206,愛知県,尾張北東部,春日井市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-223,200,-346,427,14,5,50,18,113,55,15,4,21,129,1,-541,-10,-6,-89,-9,-98,-41,-7,-5,-19,-88,-,-16,
23207,愛知県,東三河,豊川市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-54,112,-192,262,3,10,27,19,45,29,6,6,9,93,-,-225,-5,-7,-19,-10,-55,-24,-7,-2,-14,-103,-,-12,
23208,愛知県,尾張中西部・海部,津島市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-93,29,-91,92,3,4,9,7,17,10,3,-,3,44,-,-127,-1,-2,-14,-3,-21,-9,-1,-,-3,-40,-,-2,
23209,愛知県,西三河,碧南市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-26,41,-75,152,1,3,6,3,24,14,2,-,1,44,-,-138,-2,-2,-17,-5,-18,-3,-4,-,-5,-44,-,-4,
23210,愛知県,西三河,刈谷市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-57,102,-133,349,11,4,31,13,50,39,15,4,21,79,-,-416,-3,-5,-35,-13,-43,-25,-3,-,-18,-70,-2,-9,
23211,愛知県,西三河,豊田市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-115,197,-389,497,26,24,114,43,117,89,26,10,66,459,-,-743,-23,-25,-115,-15,-115,-66,-13,-6,-42,-227,-,-4,
23212,愛知県,西三河,安城市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-45,99,-155,338,12,9,38,11,43,27,20,-,15,189,-,-391,-9,-8,-46,-12,-34,-17,-13,-1,-36,-128,-,4,
23213,愛知県,西三河,西尾市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-85,108,-217,274,5,11,31,11,29,22,9,1,14,141,-,-278,-2,-4,-24,-8,-36,-15,-7,-2,-15,-131,-,-2,
23214,愛知県,東三河,蒲郡市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-98,37,-124,106,2,6,7,5,19,3,-,-,7,30,-,-110,-,-,-24,-4,-18,-9,-,-1,-,-27,-,-3,
23215,愛知県,尾張北東部,犬山市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-92,22,-88,112,3,1,9,1,39,5,-,-,7,19,-,-124,-2,-5,-16,-1,-25,-5,-1,-2,-8,-31,-,-2,
23216,愛知県,知多,常滑市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-1,31,-81,113,1,2,20,8,17,15,8,2,6,83,-,-113,-3,-2,-21,-2,-28,-16,-2,-2,-10,-22,-,-5,
23217,愛知県,尾張北東部,江南市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-100,41,-113,134,3,1,15,3,31,12,4,1,3,47,-,-143,-12,-2,-22,-4,-38,-11,-5,-1,-6,-42,-,4,
23219,愛知県,尾張北東部,小牧市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-170,76,-175,209,2,9,22,11,95,27,7,3,11,66,-,-265,-4,-10,-48,-10,-61,-28,-5,-2,-16,-84,-,-,
23220,愛知県,尾張中西部・海部,稲沢市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-60,67,-168,201,7,3,15,4,35,18,2,6,8,63,-,-173,-1,-2,-31,-3,-28,-12,-2,-1,-8,-57,-,-3,
23221,愛知県,東三河,新城市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-70,9,-84,46,-,-,5,-,5,10,-,1,1,21,-,-51,-,-,-7,-1,-11,-3,-,-,-2,-9,-,-,
23222,愛知県,知多,東海市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-85,49,-114,224,7,4,17,8,24,15,12,-,17,43,-,-213,-4,-5,-35,-7,-30,-14,-4,-1,-10,-64,-,-4,
23223,愛知県,知多,大府市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-128,55,-96,165,5,1,10,10,18,9,2,-,6,100,-,-247,-1,-3,-19,-12,-16,-30,-5,-,-8,-68,-,-4,
23224,愛知県,知多,知多市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-70,35,-82,122,1,8,14,3,17,11,1,-,6,72,-,-141,-3,-4,-18,-5,-27,-9,-,-3,-7,-37,-,-24,
23225,愛知県,西三河,知立市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-10,43,-65,226,6,3,14,4,30,13,5,2,11,58,-,-231,-4,-1,-20,-3,-18,-7,-1,-1,-6,-56,-1,-11,
23226,愛知県,尾張北東部,尾張旭市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-67,45,-87,132,1,-,7,2,19,5,5,2,1,35,-,-128,-,-3,-13,-11,-19,-8,-13,-1,-,-37,-,-1,
23227,愛知県,西三河,高浜市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-53,32,-44,126,5,2,2,3,8,8,5,2,6,29,-,-139,-3,-3,-16,-2,-16,-1,-5,-,-6,-46,-,-,
23228,愛知県,尾張北東部,岩倉市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-17,30,-55,128,-,1,8,4,16,9,-,3,9,40,-,-115,-1,-3,-17,-3,-16,-3,-3,-,-6,-39,-,-4,
23229,愛知県,尾張北東部,豊明市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-24,44,-72,141,-,2,7,-,11,8,3,-,3,53,-,-118,-2,-2,-14,-6,-17,-4,-2,-,-4,-50,-,-5,
23230,愛知県,尾張北東部,日進市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-32,66,-57,238,5,4,15,9,26,13,4,2,5,57,-,-225,-5,-6,-49,-2,-11,-9,-,-1,-7,-99,-,-5,
23231,愛知県,東三河,田原市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-58,21,-83,58,7,2,14,4,11,11,3,4,18,29,-,-87,-3,-5,-9,-4,-11,-4,-2,-1,-7,-21,-3,-,
23232,愛知県,尾張中西部・海部,愛西市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-49,23,-82,87,4,2,5,2,30,4,3,2,4,23,-,-99,-,-2,-7,-2,-8,-2,-,-,-1,-36,-,1,
23233,愛知県,尾張中西部・海部,清須市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,38,57,-67,188,7,1,6,4,37,19,8,1,7,43,-,-189,-1,-1,-17,-7,-21,-7,-,-4,-5,-17,-,-4,
23234,愛知県,尾張中西部・海部,北名古屋市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-74,54,-77,178,3,6,18,15,32,9,-,-,6,18,2,-209,-4,-4,-23,-3,-37,-12,-2,-2,-5,-34,-,-3,
23235,愛知県,尾張中西部・海部,弥富市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-43,27,-52,78,2,3,14,2,21,3,3,1,1,31,-,-87,-,-,-19,-1,-22,-7,-1,-,-4,-32,-,-4,
23236,愛知県,西三河,みよし市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,72,37,-49,175,4,4,24,5,18,10,1,-,6,65,-,-121,-2,-1,-23,-4,-9,-9,-3,-2,-12,-36,-,-6,
23237,愛知県,尾張中西部・海部,あま市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-30,51,-123,185,2,2,9,3,24,21,5,-,7,56,-,-167,-3,-1,-23,-5,-25,-11,-1,-2,-3,-30,-,-1,
23238,愛知県,尾張北東部,長久手市,―,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,14,37,-44,130,6,1,28,9,25,6,1,1,4,45,-,-131,-1,-5,-28,-,-21,-11,-3,-1,-2,-30,-,-2,
23302,愛知県,尾張北東部,愛知郡,東郷町,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,2,24,-40,88,3,2,8,5,14,17,-,-,2,22,-,-72,-3,-2,-9,-3,-4,-4,-,-,-6,-32,-,-8,
23342,愛知県,尾張中西部・海部,西春日井郡,豊山町,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,1,13,-24,66,-,-,2,2,2,1,1,-,1,11,-,-48,-3,-,-5,-1,-7,-3,-1,-1,-1,-3,-,-1,
23361,愛知県,尾張北東部,丹羽郡,大口町,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,9,16,-24,45,2,-,-,6,20,2,-,1,1,8,-,-46,-,-2,-6,-,-3,-2,-2,-,-,-4,-,-3,
23362,愛知県,尾張北東部,丹羽郡,扶桑町,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-13,15,-48,66,3,-,2,4,26,2,2,3,2,17,-,-54,-1,-3,-2,-1,-22,-1,-,-3,-5,-18,-,3,
23424,愛知県,尾張中西部・海部,海部郡,大治町,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,39,22,-23,93,2,1,6,1,8,5,3,-,1,5,-,-47,-1,-,-9,-1,-11,-2,-2,-,-1,-7,-,-4,
23425,愛知県,尾張中西部・海部,海部郡,蟹江町,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-25,26,-39,43,2,-,5,3,25,3,5,2,1,26,-,-78,-,-,-4,-2,-16,-6,-1,-,-2,-18,-,-,
23427,愛知県,尾張中西部・海部,海部郡,飛島村,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-15,3,-8,6,-,-,1,-,-,2,-,-,-,10,-,-9,-,-,-2,-,-,-,-,-,-,-18,-,-,
23441,愛知県,知多,知多郡,阿久比町,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-15,12,-40,41,2,-,6,-,2,1,1,-,1,15,-,-33,-1,-1,-11,-,-2,-1,-1,-,-3,-8,-,5,
23442,愛知県,知多,知多郡,東浦町,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,5,33,-57,114,1,1,6,1,6,7,1,-,5,19,-,-82,-1,-1,-13,-3,-9,-5,-1,-,-,-16,-,-1,
23445,愛知県,知多,知多郡,南知多町,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-126,1,-36,26,-,1,-,-,4,1,-,-,1,67,-,-57,-13,-3,-7,-2,-18,-71,-1,-,-2,-17,-,-,
23446,愛知県,知多,知多郡,美浜町,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-51,3,-33,29,-,-,2,1,1,2,1,-,-,61,-,-50,-3,-,-9,-3,-23,-14,-5,-,-7,-7,-,3,
23447,愛知県,知多,知多郡,武豊町,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-35,22,-39,72,2,-,8,2,3,10,1,1,2,13,-,-78,-3,-1,-4,-2,-6,-2,-,-,-5,-30,-,-1,
23501,愛知県,西三河,額田郡,幸田町,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-36,20,-32,65,1,1,7,1,4,5,2,-,4,15,-,-88,-,-,-7,-1,-10,-4,-3,-1,-5,-9,-,-1,
23561,愛知県,東三河,北設楽郡,設楽町,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-14,1,-8,2,-,-,-,-,-,-,-,-,1,1,-,-6,-2,-,-1,-,-1,-,-,-,-,-1,-,-,
23562,愛知県,東三河,北設楽郡,東栄町,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-1,-,-7,6,-,-,3,-,-,-,-,-,-,-,-,-2,-,-,-,-,-,-,-,-,-,-1,-,-,
23563,愛知県,東三河,北設楽郡,豊根村,a)日外,a)男女,a)総数,人口増減数（人）,20240101-31,-3,-,-3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-1,-,-,-,-,-,-,-,
23000,愛知県,―,―,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-2290,1976,-4380,6729,196,99,933,267,1058,590,170,71,327,815,1,-6876,-166,-89,-1209,-198,-929,-624,-141,-46,-410,-527,-2,75,
23100,愛知県,名古屋,名古屋市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-488,629,-1383,3012,67,30,486,104,412,240,57,36,117,215,-,-2737,-76,-20,-624,-93,-320,-304,-57,-16,-163,-131,-,31,
23101,愛知県,名古屋,名古屋市,千種区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-4,38,-86,207,7,2,53,10,25,24,4,3,16,27,-,-172,-11,-1,-60,-6,-40,-21,-6,-2,-7,-8,-,-,
23102,愛知県,名古屋,名古屋市,東区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-4,30,-45,140,4,3,33,1,16,14,5,3,4,9,-,-122,-4,-1,-47,-2,-13,-13,-4,-,-11,-5,-,1,
23103,愛知県,名古屋,名古屋市,北区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-32,37,-112,218,5,2,23,2,30,19,4,3,12,9,-,-181,-1,-1,-30,-2,-28,-17,-4,-,-13,-12,-,5,
23104,愛知県,名古屋,名古屋市,西区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-37,40,-99,197,4,1,35,3,29,15,3,4,8,4,-,-178,-2,-2,-44,-8,-19,-20,-2,-1,-5,-3,-,3,
23105,愛知県,名古屋,名古屋市,中村区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-84,39,-94,236,6,4,46,9,39,18,4,1,7,12,-,-231,-4,-3,-71,-14,-26,-27,-3,-3,-17,-15,-,3,
23106,愛知県,名古屋,名古屋市,中区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,98,30,-45,257,6,5,74,15,53,35,6,1,19,15,-,-184,-6,-2,-86,-8,-26,-36,-8,-1,-14,-8,-,6,
23107,愛知県,名古屋,名古屋市,昭和区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-24,26,-52,131,3,1,23,5,24,5,5,1,3,14,-,-128,-7,-,-39,-3,-12,-13,-4,-,-4,-4,-,1,
23108,愛知県,名古屋,名古屋市,瑞穂区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-9,39,-57,137,-,-,20,3,10,13,4,1,8,10,-,-119,-2,-2,-21,-6,-9,-15,-4,-,-10,-10,-,1,
23109,愛知県,名古屋,名古屋市,熱田区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-70,14,-50,100,1,-,15,1,12,6,1,-,3,2,-,-113,-2,-,-21,-3,-9,-11,-1,-1,-10,-4,-,-,
23110,愛知県,名古屋,名古屋市,中川区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-44,64,-145,299,8,3,37,7,38,22,4,2,8,5,-,-255,-9,-3,-36,-10,-42,-18,-3,-3,-15,-6,-,4,
23111,愛知県,名古屋,名古屋市,港区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-91,31,-102,142,4,-,10,3,24,9,-,1,3,3,-,-151,-3,-,-18,-2,-16,-12,-2,-,-9,-6,-,-,
23112,愛知県,名古屋,名古屋市,南区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-81,31,-119,151,6,2,14,12,19,13,-,2,3,5,-,-147,-4,-,-17,-3,-16,-13,-4,-3,-4,-9,-,-,
23113,愛知県,名古屋,名古屋市,守山区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-90,61,-105,165,3,1,16,5,23,9,3,1,9,9,-,-208,-4,-,-19,-5,-16,-19,-3,-,-14,-3,-,1,
23114,愛知県,名古屋,名古屋市,緑区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,62,83,-112,258,1,3,25,9,18,13,6,6,6,42,-,-205,-4,-2,-25,-8,-16,-12,-3,-,-12,-13,-,4,
23115,愛知県,名古屋,名古屋市,名東区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-31,36,-84,189,5,-,37,9,34,14,4,4,4,27,-,-160,-8,-,-62,-7,-17,-35,-4,-,-9,-10,-,2,
23116,愛知県,名古屋,名古屋市,天白区,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-47,30,-76,185,4,3,25,10,18,11,4,3,4,22,-,-183,-5,-3,-28,-6,-15,-22,-2,-2,-9,-15,-,-,
23201,愛知県,東三河,豊橋市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-154,81,-235,149,7,6,36,7,50,17,5,-,11,21,-,-167,-6,-5,-27,-6,-53,-20,-4,-1,-20,-9,-,9,
23202,愛知県,西三河,岡崎市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-44,125,-219,292,7,5,43,15,45,26,10,5,13,79,-,-272,-7,-5,-43,-10,-41,-33,-8,-2,-18,-55,-,4,
23203,愛知県,尾張中西部・海部,一宮市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-131,81,-222,184,6,2,25,8,63,19,3,2,8,27,-,-161,-9,-3,-36,-6,-71,-32,-5,-3,-5,-15,-,9,
23204,愛知県,尾張北東部,瀬戸市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-92,21,-84,64,2,-,3,3,7,3,-,-,5,8,-,-81,-2,-1,-11,-1,-8,-9,-2,-,-4,-5,-,-,
23205,愛知県,知多,半田市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-31,29,-75,108,5,2,5,7,10,8,-,-,2,10,-,-100,-1,-,-6,-,-11,-11,-,-,-9,-4,-1,1,
23206,愛知県,尾張北東部,春日井市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-154,101,-209,188,10,1,29,13,44,25,9,-,9,25,-,-281,-2,-2,-36,-6,-40,-14,-6,-1,-9,-7,-,5,
23207,愛知県,東三河,豊川市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-21,44,-92,119,1,2,16,7,18,17,3,4,5,15,-,-111,-2,-3,-9,-6,-23,-10,-3,-2,-9,-4,-,2,
23208,愛知県,尾張中西部・海部,津島市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-70,9,-54,38,1,-,5,2,4,2,-,-,-,2,-,-60,-,-,-5,-,-10,-2,-1,-,-1,-2,-,2,
23209,愛知県,西三河,碧南市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-21,17,-29,47,1,2,2,1,8,1,2,-,1,6,-,-52,-2,-1,-10,-,-7,-3,-1,-,-3,-1,-,-,
23210,愛知県,西三河,刈谷市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,7,54,-60,176,8,2,12,8,29,26,9,2,15,30,-,-213,-2,-3,-18,-8,-17,-11,-1,-,-13,-19,-,1,
23211,愛知県,西三河,豊田市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-201,101,-218,205,17,11,55,19,49,46,13,7,41,99,-,-372,-15,-9,-59,-9,-69,-35,-8,-5,-27,-43,-,5,
23212,愛知県,西三河,安城市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-7,47,-78,172,7,4,15,2,26,13,7,-,9,42,-,-164,-6,-3,-21,-3,-17,-8,-9,-1,-16,-27,-,2,
23213,愛知県,西三河,西尾市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-35,44,-102,107,4,4,18,6,6,11,7,-,4,17,-,-109,-1,-1,-13,-1,-6,-6,-2,-2,-9,-12,-,1,
23214,愛知県,東三河,蒲郡市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-43,22,-58,39,2,2,5,4,8,1,-,-,5,4,-,-51,-,-,-11,-1,-8,-5,-,-,-,-2,-,1,
23215,愛知県,尾張北東部,犬山市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-45,12,-37,42,1,-,6,1,15,1,-,-,5,4,-,-63,-,-3,-9,-,-5,-3,-,-,-5,-7,-,-,
23216,愛知県,知多,常滑市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-18,17,-40,49,1,-,7,3,5,2,2,-,2,1,-,-36,-1,-1,-6,-,-3,-7,-1,-1,-4,-6,-,-1,
23217,愛知県,尾張北東部,江南市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-61,18,-64,51,3,-,10,2,13,6,1,-,1,10,-,-72,-2,-1,-8,-1,-12,-6,-3,-,-,-9,-,2,
23219,愛知県,尾張北東部,小牧市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-89,32,-102,83,2,4,9,8,30,13,6,-,8,5,-,-116,-2,-1,-19,-1,-25,-11,-3,-,-9,-3,-,3,
23220,愛知県,尾張中西部・海部,稲沢市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-25,35,-90,90,3,-,8,2,16,6,1,3,3,10,-,-65,-,-1,-17,-2,-12,-6,-1,-1,-5,-5,-,3,
23221,愛知県,東三河,新城市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-42,4,-48,14,-,-,2,-,3,2,-,1,-,3,-,-17,-,-,-2,-,-3,-,-,-,-1,-1,-,1,
23222,愛知県,知多,東海市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-78,27,-65,109,1,3,12,2,14,8,7,-,5,5,-,-125,-4,-4,-22,-5,-17,-9,-3,-1,-8,-7,-,-1,
23223,愛知県,知多,大府市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-52,32,-49,82,2,1,5,4,7,5,-,-,3,15,-,-116,-,-,-10,-2,-5,-9,-4,-,-3,-11,-,1,
